Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,source_file,Date,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,"      CENTRAL ELECTRICITY AUTHORITY 
,Coal Lignite,209809.5,8473,6307,7974,38666.5,9805,56445.5,26.9,153364,148666.83499999996,135286.81984999997,88.21289210636132,64.48078845333504,dgr16-2022-01-15.xls,2022-01-15,,,
,Coal Lignite,0,,,0,0,0,0,0,0,,,0,0,dgr16-2022-01-15.xls,2022-01-15,,,
,Gas Liquid,24869.508999999995,8943.12,,555.1,6314.935,10590.679000000002,17460.714000000004,70.21,7408.794999999991,3433.47,3364.8005999999996,45.416300491510476,13.529823206401058,dgr16-2022-01-15.xls,2022-01-15,,,
,Diesel,509.709,,,,,,,,509.709,46.05,45.129,8.853875446578341,8.853875446578341,dgr16-2022-01-15.xls,2022-01-15,,,
,Total  THERMAL,235188.718,17416.120000000003,6307,8529.1,44981.435,20395.679000000004,73906.214,31.424217381039515,161282.504,152146.35499999995,138696.74944999994,85.99615333973234,58.97253517492278,dgr16-2022-01-15.xls,2022-01-15,,,
,NUCLEAR,,,,,,,,,,,,,,dgr16-2022-01-15.xls,2022-01-15,,,
, Nuclear,6780,640,,860,540,0,1400,20.65,5380,5490.26,4858.8801,90.31375650557621,71.6648982300885,dgr16-2022-01-15.xls,2022-01-15,,,
,Total  NUCLEAR,6780,640,,860,540,0,1400,20.64896755162242,5380,5490.26,4858.8801,90.31375650557621,71.6648982300885,dgr16-2022-01-15.xls,2022-01-15,,,
,HYDRO,,,,,,,,,,,,,,dgr16-2022-01-15.xls,2022-01-15,,,
, Hydro,46512.22,3405.95,,2706.7200000000003,1634.2,4536.3,8877.220000000001,19.09,37635,27386.70000000001,27112.83300000001,72.0415384615385,58.29184889476359,dgr16-2022-01-15.xls,2022-01-15,,,
,Total  HYDRO,46512.22,3405.95,,2706.7200000000003,1634.2,4536.3,8877.220000000001,19.08578003802012,37635,27386.70000000001,27112.83300000001,72.0415384615385,58.29184889476359,dgr16-2022-01-15.xls,2022-01-15,,,
,Total,288480.93799999997,21462.070000000003,6307,12095.82,47155.634999999995,24931.979000000003,84183.43400000001,29.181627938273003,204297.504,185023.31499999997,170668.46254999997,83.53918144296074,59.16108833159714,dgr16-2022-01-15.xls,2022-01-15,,,
,,,,,,,,,,,,,,,dgr16-2022-01-15.xls,2022-01-15,,,
,https://npp.gov.in   2022/01/18 16:22:25,,,,,,,,,,,,PAGE 1,,dgr16-2022-01-15.xls,2022-01-15,,,
,,"      CENTRAL ELECTRICITY AUTHORITY 
           G O & D WING 
           OPERATION PERFORMANCE MONITORING DIVISION",,,,,,,,,,,,Subreport 16,dgr16-2022-01-16.xls,2022-01-16,,,
,,,,,,,,,,,,,,,dgr16-2022-01-16.xls,2022-01-16,,,
,,Details Of Capacity (mw) Utilization For Power Generation  16-Jan-2022,,,,,,,,,,,,,dgr16-2022-01-16.xls,2022-01-16,,,
,Particulars,Monitored Capacity(MW) ( As on 16-Jan-2022),Capacity under long outage(MW),New Capacity under stabilization/Completion of balance works,Capacity (MW),,,,Capacity outage as percent of Monitered,Capacity on Line(MW),Sum of Max. Power generated (MW),,Max. Power output as % of,,dgr16-2022-01-16.xls,2022-01-16,,,
,,,,,PM,FO,Others,Total,,,Gross,Net,Capacity on line,Monitered,dgr16-2022-01-16.xls,2022-01-16,,,
,THERMAL,,,,,,,,,,,,,,dgr16-2022-01-16.xls,2022-01-16,,,
,Coal Lignite,209809.5,8473,6307,9334,38166.5,10295,57795.5,27.55,152014,146108.21500000003,132958.47565000004,87.4646253963451,63.371046425447865,dgr16-2022-01-16.xls,2022-01-16,,,
,Coal Lignite,0,,,0,0,0,0,0,0,,,0,0,dgr16-2022-01-16.xls,2022-01-16,,,
,Gas Liquid,24869.508999999995,8943.12,,555.1,6494.935,10430.679000000002,17480.714000000004,70.29,7388.794999999991,3738.67,3663.8966,49.5872006193162,14.732484666263417,dgr16-2022-01-16.xls,2022-01-16,,,
,Diesel,509.709,,,,,,,,509.709,46.05,45.129,8.853875446578341,8.853875446578341,dgr16-2022-01-16.xls,2022-01-16,,,
,Total  THERMAL,235188.718,17416.120000000003,6307,9889.1,44661.435,20725.679000000004,75276.214,32.006728315939036,159912.504,149892.93500000003,136667.50125000003,85.46392422821422,58.1097181923497,dgr16-2022-01-16.xls,2022-01-16,,,
,NUCLEAR,,,,,,,,,,,,,,dgr16-2022-01-16.xls,2022-01-16,,,
, Nuclear,6780,640,,860,540,0,1400,20.65,5380,5493.32,4861.5882,90.36409293680298,71.7048407079646,dgr16-2022-01-16.xls,2022-01-16,,,
,Total  NUCLEAR,6780,640,,860,540,0,1400,20.64896755162242,5380,5493.32,4861.5882,90.36409293680298,71.7048407079646,dgr16-2022-01-16.xls,2022-01-16,,,
,HYDRO,,,,,,,,,,,,,,dgr16-2022-01-16.xls,2022-01-16,,,
, Hydro,46512.22,3405.95,,2875.32,1634.2,5075.9,9585.42,20.61,36926.8,27269.549999999992,26996.85449999999,73.10910910233216,58.042498293996694,dgr16-2022-01-16.xls,2022-01-16,,,
,Total  HYDRO,46512.22,3405.95,,2875.32,1634.2,5075.9,9585.42,20.60839065518696,36926.8,27269.549999999992,26996.85449999999,73.10910910233216,58.042498293996694,dgr16-2022-01-16.xls,2022-01-16,,,
