State,Max Demand Met (MW),Shortage (MW),Energy Met (MU),Schedule (MU),OD/UD (MW),Max OD (MW),Energy Shortage (MU),Date
Delhi,4361,0,69.2,59.3,2.8,183,0.0,2022-02-07
NR UP,18137,0,315.7,84.1,-0.1,481,0.0,2022-02-07
Uttarakhand,2308,0,41.2,30.8,0.2,189,0.0,2022-02-07
HP,1934,0,33.8,25.7,-0.5,217,0.0,2022-02-07
J&K(UT) & Ladakh(UT),2973,250,59.8,56.9,-2.4,70,4.65,2022-02-07
Chandigarh,231,0,4.0,4.1,-0.1,18,0.0,2022-02-07
Chhattisgarh,4428,0,93.1,37.5,-0.5,210,0.0,2022-02-07
Gujarat,16804,0,354.8,203.1,1.2,483,0.0,2022-02-07
MP,15298,0,300.5,180.9,-0.2,690,0.0,2022-02-07
WR Maharashtra,25790,0,518.7,144.4,-0.6,600,0.0,2022-02-07
Goa,573,0,11.9,11.2,0.4,44,0.0,2022-02-07
DNH,859,0,19.7,19.4,0.3,54,0.0,2022-02-07
AMNSIL,784,0,17.6,10.2,0.8,275,0.0,2022-02-07
Andhra Pradesh,11342,0,200.1,60.5,2.2,1085,0.0,2022-02-07
Telangana,11715,0,212.5,72.8,0.3,443,0.0,2022-02-07
SR Karnataka,13560,0,246.1,98.1,0.3,668,0.0,2022-02-07
Kerala,3838,0,76.7,57.0,-0.7,322,0.0,2022-02-07
Tamil Nadu,15225,0,316.5,189.4,-0.3,821,0.0,2022-02-07
Puducherry,380,0,75.0,7.7,-0.2,29,0.0,2022-02-07
Bihar,5033,0,85.0,76.7,2.2,332,0.09,2022-02-07
DVC,3130,0,69.1,41.2,-1.5,268,0.0,2022-02-07
Jharkhand,1529,0,29.9,20.4,-0.2,182,1.73,2022-02-07
ER Odisha,5532,0,102.7,41.8,-0.5,288,0.0,2022-02-07
West Bengal,6115,0,113.1,41.0,-0.6,360,0.0,2022-02-07
Sikkim,119,0,1.9,21.0,-0.2,21,0.0,2022-02-07
Arunachal Pradesh,149,0,2.5,2.7,-0.3,56,0.0,2022-02-07
Assam,1472,0,25.0,18.0,0.1,90,0.0,2022-02-07
Manipur,248,0,3.6,3.5,0.1,56,0.0,2022-02-07
NER Meghalaya,401,0,7.7,6.3,0.0,50,0.0,2022-02-07
Mizoram,143,0,1.9,1.9,-0.4,27,0.0,2022-02-07
Nagaland,147,0,2.8,2.3,0.4,29,0.0,2022-02-07
Tripura,234,0,3.6,2.9,-0.4,52,0.0,2022-02-07
Central Sector,5724,13498,6862.0,1646.0,344.0,26524,43.0,2022-02-07
Total,16050,28991,14415.0,5096.0,355.0,61976,100.0,2022-02-07
Coal,636,1289,582.0,584.0,14.0,3105,77.0,2022-02-07
Lignite,27,8,45.0,0.0,0.0,81,2.0,2022-02-07
Hydro,103,46,96.0,26.0,10.0,281,7.0,2022-02-07
Nuclear,33,21,70.0,0.0,0.0,124,3.0,2022-02-07
 Naptha & Diesel,15,14,9.0,0.0,30.0,68,2.0,2022-02-07
 Biomass & Others),105,77,166.0,5.0,0.0,354,9.0,2022-02-07
Total,919,1455,968.0,615.0,54.0,4011,100.0,2022-02-07
Punjab,6377,225,116.9,40.4,-0.9,88,0.93,2022-02-08
Haryana,6306,0,125.4,74.8,1.0,177,0.0,2022-02-08
Rajasthan,15404,0,282.8,77.0,0.8,256,0.0,2022-02-08
Delhi,4116,0,69.6,57.8,-0.7,200,0.0,2022-02-08
NR UP,18448,0,315.9,89.6,-1.0,510,0.0,2022-02-08
HP,1909,0,33.8,25.8,-0.3,80,0.0,2022-02-08
J&K(UT) & Ladakh(UT),3084,250,61.3,56.5,-0.4,292,4.65,2022-02-08
Chandigarh,225,0,4.1,4.1,0.0,25,0.0,2022-02-08
Chhattisgarh,4396,0,94.2,39.1,0.1,176,0.0,2022-02-08
Gujarat,16932,0,363.7,204.9,5.9,699,0.0,2022-02-08
MP,15391,0,303.1,191.0,-0.7,595,0.0,2022-02-08
WR Maharashtra,25955,0,528.2,147.0,-3.9,839,0.0,2022-02-08
Goa,579,0,12.0,11.6,0.1,23,0.0,2022-02-08
DD,344,0,7.6,7.3,0.3,42,0.0,2022-02-08
DNH,857,0,19.9,19.6,0.3,47,0.0,2022-02-08
AMNSIL,863,0,17.9,10.0,0.5,355,0.0,2022-02-08
Andhra Pradesh,11154,0,199.6,59.3,1.9,831,1.09,2022-02-08
Telangana,11788,0,217.4,80.4,2.1,584,0.0,2022-02-08
SR Karnataka,13309,0,249.8,103.7,1.0,969,0.0,2022-02-08
Kerala,3876,0,79.0,56.2,-0.1,270,0.0,2022-02-08
Tamil Nadu,15741,0,328.1,191.7,1.4,842,0.0,2022-02-08
Puducherry,385,0,7.9,8.0,-0.1,28,0.0,2022-02-08
Bihar,4900,0,84.4,75.2,-1.8,355,0.0,2022-02-08
Jharkhand,1460,0,29.6,19.8,-0.1,174,2.11,2022-02-08
ER Odisha,5627,0,104.7,40.1,1.9,653,0.0,2022-02-08
West Bengal,6253,0,117.2,3.2,0.0,490,0.0,2022-02-08
Sikkim,119,0,2.0,2.2,-0.2,17,0.0,2022-02-08
Arunachal Pradesh,159,0,2.5,2.5,-0.2,31,0.0,2022-02-08
Assam,1455,0,25.7,18.8,0.3,138,0.0,2022-02-08
Manipur,242,0,3.6,3.6,0.0,25,0.0,2022-02-08
NER Meghalaya,397,0,7.7,5.7,0.2,42,0.0,2022-02-08
Mizoram,141,0,21.0,2.0,-0.2,15,0.0,2022-02-08
Nagaland,161,0,2.8,2.3,0.3,29,0.0,2022-02-08
Tripura,221,0,3.6,2.4,-0.4,35,0.0,2022-02-08
Central Sector,5693,12838,6362.0,1646.0,369.0,26907,42.0,2022-02-08
Total,15358,28331,14425.0,5781.0,380.0,64275,100.0,2022-02-08
Coal,634,1316,595.0,586.0,14.0,3145,77.0,2022-02-08
Lignite,27,10,49.0,0.0,0.0,86,2.0,2022-02-08
Hydro,103,48,89.0,29.0,10.0,279,7.0,2022-02-08
Nuclear,33,21,69.0,0.0,0.0,123,3.0,2022-02-08
 Naptha & Diesel,15,15,10.0,0.0,30.0,70,2.0,2022-02-08
 Biomass & Others),107,85,166.0,5.0,0.0,363,9.0,2022-02-08
Total,919,1496,978.0,619.0,55.0,4067,100.0,2022-02-08
Punjab,6619,0,118.2,38.7,-0.7,71,0.0,2022-02-09
Haryana,6269,0,120.3,68.4,1.3,295,0.75,2022-02-09
Rajasthan,14409,0,266.6,64.2,-1.2,230,0.0,2022-02-09
Delhi,4196,0,69.0,58.0,-1.5,171,0.0,2022-02-09
NR UP,18045,0,308.6,99.3,0.2,474,0.0,2022-02-09
Uttarakhand,2335,0,44.4,33.6,0.9,199,0.0,2022-02-09
HP,1932,0,34.8,26.4,0.1,161,0.0,2022-02-09
J&K(UT) & Ladakh(UT),3217,300,61.3,56.1,-0.1,318,4.65,2022-02-09
Chandigarh,231,0,3.9,4.1,-0.2,29,0.0,2022-02-09
Chhattisgarh,4493,0,94.3,40.1,-0.1,208,0.0,2022-02-09
Gujarat,16755,0,357.8,202.7,2.5,527,0.0,2022-02-09
MP.,15039,0,299.6,183.9,-1.5,504,0.0,2022-02-09
WR Maharashtra,25494,716,517.5,143.9,-5.0,560,8.57,2022-02-09
Goa,572,0,12.0,11.5,0.2,26,0.0,2022-02-09
DD,342,0,78.0,7.3,0.5,44,0.0,2022-02-09
DNH,865,0,19.9,19.9,0.0,59,0.0,2022-02-09
AMNSIL,852,0,18.8,9.9,-0.1,315,0.0,2022-02-09
Andhra Pradesh,10954,0,202.9,60.6,1.1,1195,0.0,2022-02-09
SR Karnataka,13390,0,250.6,99.0,2.4,1277,0.0,2022-02-09
Kerala,3864,0,79.5,57.0,0.3,255,0.0,2022-02-09
Tamil Nadu,15696,0,327.2,192.9,-0.2,460,0.0,2022-02-09
Puducherry,388,0,19.0,8.0,-0.1,33,0.0,2022-02-09
Bihar,4775,0,84.0,22.9,-1.5,329,0.0,2022-02-09
DVC,3074,0,69.0,43.4,0.0,320,0.0,2022-02-09
Jharkhand,1461,0,29.9,20.0,-0.2,151,1.63,2022-02-09
ER Odisha,5756,0,108.5,55.7,0.6,572,0.0,2022-02-09
West Bengal,5981,0,117.8,3.1,-0.8,358,0.0,2022-02-09
Sikkim,120,0,1.9,2.2,-0.3,11,0.0,2022-02-09
Arunachal Pradesh,156,0,2.5,2.6,-0.2,36,0.0,2022-02-09
Assam,1467,0,25.9,18.9,0.2,90,0.0,2022-02-09
Manipur,243,0,3.6,3.5,0.1,32,0.0,2022-02-09
NER Meghalaya,415,0,1.7,5.8,0.2,45,0.0,2022-02-09
Mizoram,139,0,2.0,1.9,-0.2,27,0.0,2022-02-09
Nagaland,151,0,2.4,2.3,0.0,18,0.0,2022-02-09
Tripura,216,0,3.7,2.3,-0.2,46,0.0,2022-02-09
Central Sector,6066,12898,6362.0,1646.0,369.0,27340,42.0,2022-02-09
State Sector,10325,15671,7973.0,4135.0,11.0,38115,58.0,2022-02-09
Total,16391,28568,14335.0,5781.0,380.0,65455,100.0,2022-02-09
Coal,617,1290,579.0,566.0,14.0,3066,76.0,2022-02-09
Lignite,27,10,49.0,0.0,0.0,86,2.0,2022-02-09
Hydro,102,43,90.0,29.0,9.0,274,7.0,2022-02-09
Nuclear,33,21,70.0,0.0,0.0,124,3.0,2022-02-09
 Naptha & Diesel,15,17,10.0,0.0,29.0,71,2.0,2022-02-09
 Biomass & Others),109,99,179.0,5.0,0.0,392,10.0,2022-02-09
Total,903,1481,976.0,600.0,53.0,4012,100.0,2022-02-09
Haryana,6222,0,124.8,72.0,1.2,218,0.0,2022-02-09
Rajasthan,15086,0,272.8,71.3,1.3,284,0.0,2022-02-09
NR UP,17051,0,305.8,107.6,2.4,397,0.0,2022-02-09
Uttarakhand,2317,0,42.1,31.3,0.5,223,0.0,2022-02-09
HP,1906,0,33.9,25.7,0.3,127,0.0,2022-02-09
J&K(UT) & Ladakh(UT),3087,300,60.1,55.6,-0.7,413,4.65,2022-02-09
Chandigarh,220,0,3.7,4.1,-0.4,16,0.0,2022-02-09
Chhattisgarh,4013,0,86.8,31.6,-1.3,311,0.0,2022-02-09
Gujarat,16728,0,354.9,191.3,-0.8,617,0.0,2022-02-09
MP.,14788,0,292.5,174.1,-1.3,699,0.0,2022-02-09
WR Maharashtra,25719,0,527.7,148.3,-3.3,514,0.0,2022-02-09
Goa,571,0,12.0,11.5,0.2,29,0.0,2022-02-09
DD,347,0,1.7,7.3,0.4,38,0.0,2022-02-09
DNH,867,0,19.9,19.8,0.1,45,0.0,2022-02-09
AMNSIL,882,0,19.4,10.1,0.0,294,0.0,2022-02-09
Andhra Pradesh,10954,0,201.0,54.1,0.4,769,0.0,2022-02-09
Telangana,11876,0,218.3,89.5,0.7,651,0.0,2022-02-09
SR Karnataka,13437,0,249.2,98.0,-0.9,728,0.0,2022-02-09
Tamil Nadu,15665,0,330.0,194.9,0.1,430,0.0,2022-02-09
Puducherry,383,0,27.0,8.1,-0.4,28,0.0,2022-02-09
Bihar,4690,0,80.3,70.1,-1.5,323,0.0,2022-02-09
Jharkhand,1554,0,28.6,19.1,-0.6,173,0.73,2022-02-09
ER Odisha,5669,0,109.3,61.3,-0.1,460,0.0,2022-02-09
West Bengal,5914,0,117.3,0.6,-0.6,276,0.0,2022-02-09
Sikkim,120,0,1.9,2.2,-0.3,12,0.0,2022-02-09
Arunachal Pradesh,157,0,2.6,2.6,-0.2,42,0.0,2022-02-09
Assam,1468,0,25.8,19.2,-0.1,120,0.0,2022-02-09
Mizoram,136,0,2.0,1.8,-0.1,16,0.0,2022-02-09
Nagaland,150,0,2.5,2.3,0.1,21,0.0,2022-02-09
Tripura,220,0,3.7,2.6,-0.8,28,0.0,2022-02-09
Central Sector,6126,13530,6362.0,1646.0,369.0,28032,42.0,2022-02-09
State Sector,10700,15961,8376.0,4135.0,11.0,39183,58.0,2022-02-09
Total,16826,29490,14738.0,5781.0,380.0,67215,100.0,2022-02-09
Lignite,25,10,49.0,0.0,0.0,84,2.0,2022-02-09
Nuclear,33,21,69.0,0.0,0.0,123,3.0,2022-02-09
 Naptha & Diesel,13,17,9.0,0.0,29.0,68,2.0,2022-02-09
Total,893,1490,972.0,597.0,51.0,4004,100.0,2022-02-09
Punjab,6551,0,120.5,39.5,-0.9,81,0.0,2022-02-10
Haryana,6155,0,125.9,7.7,1.2,270,0.0,2022-02-10
Rajasthan,15403,0,278.7,82.5,2.3,422,0.0,2022-02-10
Delhi,4321,0,69.3,58.7,-1.9,170,0.0,2022-02-10
NR UP,18141,0,306.0,99.8,-1.4,728,0.0,2022-02-10
Uttarakhand,2344,0,42.4,32.3,0.9,253,0.0,2022-02-10
HP,1919,0,33.8,26.3,0.0,167,0.0,2022-02-10
J&K(UT) & Ladakh(UT),2950,0,61.7,56.3,0.3,221,4.65,2022-02-10
Chandigarh,230,0,3.7,4.0,-0.4,11,0.0,2022-02-10
Chhattisgarh,4252,0,91.0,35.0,-0.8,161,0.0,2022-02-10
Gujarat,16844,0,359.7,186.7,6.4,729,0.0,2022-02-10
MP,15126,0,293.3,186.1,-0.9,466,0.0,2022-02-10
WR Maharashtra,25490,0,521.8,146.5,5.2,616,0.0,2022-02-10
Goa,596,0,12.4,11.7,0.4,36,0.0,2022-02-10
DD,334,0,75.0,7.3,0.2,36,0.0,2022-02-10
DNH,852,0,19.8,19.8,0.0,36,0.0,2022-02-10
AMNSIL,800,0,17.5,6.1,-0.5,324,0.0,2022-02-10
Andhra Pradesh,10732,0,199.4,55.1,1.5,1218,0.0,2022-02-10
Telangana,12039,0,219.3,99.3,0.8,739,0.0,2022-02-10
SR Karnataka,13498,0,248.2,94.9,-1.2,828,0.0,2022-02-10
Kerala,3779,0,78.3,55.1,-0.3,249,0.0,2022-02-10
Tamil Nadu,15060,0,319.0,186.8,-0.7,376,0.0,2022-02-10
Puducherry,371,0,75.0,7.9,-0.4,44,0.0,2022-02-10
Bihar,4788,0,82.1,70.4,-0.6,310,0.17,2022-02-10
Jharkhand,1547,0,29.6,20.0,-0.7,181,1.22,2022-02-10
ER Odisha,5713,0,108.4,59.5,-0.9,327,0.0,2022-02-10
Sikkim,112,0,1.9,21.0,-0.3,11,0.0,2022-02-10
Arunachal Pradesh,161,0,2.5,2.7,-0.3,34,0.0,2022-02-10
Assam,1461,0,25.3,19.0,-0.2,102,0.0,2022-02-10
Manipur,230,0,3.5,3.5,0.0,17,0.0,2022-02-10
NER Meghalaya,414,0,7.4,5.7,0.2,103,0.0,2022-02-10
Mizoram,131,0,1.8,1.8,-0.4,18,0.0,2022-02-10
Nagaland,156,0,2.4,2.3,0.1,27,0.0,2022-02-10
Tripura,218,0,3.7,2.0,-0.5,27,0.0,2022-02-10
Central Sector,6376,14980,6912.0,1146.0,697.0,30111,43.0,2022-02-10
Total,16841,31400,15978.0,4731.0,708.0,69658,100.0,2022-02-10
Coal,602,1275,556.0,575.0,14.0,3021,75.0,2022-02-10
Hydro,102,30,87.0,26.0,9.0,254,6.0,2022-02-10
Nuclear,33,21,69.0,0.0,0.0,124,3.0,2022-02-10
 Naptha & Diesel,14,12,9.0,0.0,28.0,63,2.0,2022-02-10
 Biomass & Others),116,139,197.0,5.0,0.0,458,1.0,2022-02-10
Total,894,1488,967.0,606.0,51.0,4005,100.0,2022-02-10
Punjab,6614,0,120.3,36.5,-0.5,119,0.0,2022-02-11
Haryana,6347,0,125.9,71.7,1.3,175,0.78,2022-02-11
Rajasthan,15458,0,276.8,86.4,1.9,485,0.0,2022-02-11
NR UP,18211,0,308.3,89.7,0.6,551,0.0,2022-02-11
Uttarakhand,2291,0,40.7,29.9,0.6,284,0.41,2022-02-11
HP,1874,0,33.0,25.1,0.0,147,0.0,2022-02-11
J&K(UT) & Ladakh(UT),2953,300,59.4,55.6,-1.2,182,4.65,2022-02-11
Chandigarh,217,0,3.5,3.7,-0.3,5,0.0,2022-02-11
Chhattisgarh,4280,0,90.3,37.6,0.0,194,0.0,2022-02-11
Gujarat,16666,0,357.6,217.2,3.2,796,0.0,2022-02-11
MP.,15032,0,294.8,181.2,-0.5,501,0.0,2022-02-11
WR Maharashtra,25919,0,528.2,141.1,-2.5,556,0.0,2022-02-11
Goa,581,0,12.1,11.6,0.3,37,0.0,2022-02-11
DD,336,0,75.0,7.2,0.3,56,0.0,2022-02-11
DNH,855,0,19.7,19.4,0.3,55,0.0,2022-02-11
AMNSIL,806,0,17.0,4.8,-0.9,180,0.0,2022-02-11
Andhra Pradesh,10501,500,190.9,56.0,1.8,920,9.66,2022-02-11
Telangana,11836,0,215.2,94.1,0.8,573,0.0,2022-02-11
SR Karnataka,13702,0,250.1,94.3,-1.1,723,0.0,2022-02-11
Kerala,3731,0,71.8,55.4,-0.5,208,0.0,2022-02-11
Tamil Nadu,14945,0,312.0,182.5,0.8,556,0.0,2022-02-11
Puducherry,379,0,7.8,8.0,-0.2,21,0.0,2022-02-11
Bihar,4867,342,81.6,68.9,-1.0,289,0.17,2022-02-11
Jharkhand,1462,0,29.6,19.2,0.1,155,1.97,2022-02-11
ER Odisha,5636,0,107.9,52.8,-0.6,319,0.0,2022-02-11
Sikkim,112,0,1.8,2.1,-0.3,22,0.0,2022-02-11
Arunachal Pradesh,147,0,2.4,2.7,-0.4,30,0.0,2022-02-11
Assam,1459,0,24.9,18.0,0.3,106,0.0,2022-02-11
Manipur,242,0,3.3,3.3,0.0,66,0.0,2022-02-11
Mizoram,137,0,1.8,1.8,-0.4,16,0.0,2022-02-11
Nagaland,151,0,2.4,2.2,0.2,14,0.0,2022-02-11
Tripura,219,0,3.6,1.9,-0.3,26,0.0,2022-02-11
Central Sector,6376,14680,6112.0,1806.0,334.0,29307,43.0,2022-02-11
State Sector,11335,15926,8573.0,2925.0,11.0,38770,57.0,2022-02-11
Total,17711,30605,14685.0,4731.0,345.0,68077,100.0,2022-02-11
Coal,618,1264,561.0,595.0,13.0,3052,7.0,2022-02-11
Lignite,23,12,45.0,0.0,0.0,79,2.0,2022-02-11
Hydro,107,41,92.0,27.0,9.0,275,7.0,2022-02-11
Nuclear,33,21,69.0,0.0,0.0,124,3.0,2022-02-11
 Naptha & Diesel,12,10,8.0,0.0,26.0,56,1.0,2022-02-11
 Biomass & Others),121,84,181.0,5.0,0.0,392,10.0,2022-02-11
Total,914,1432,956.0,627.0,48.0,3977,100.0,2022-02-11
Punjab,6270,0,110.6,38.9,-0.4,112,0.0,2022-02-12
Haryana,5760,0,114.5,63.4,0.4,189,0.0,2022-02-12
Rajasthan,15294,0,274.3,92.8,1.4,318,0.0,2022-02-12
Delhi,3851,0,61.5,51.6,-2.0,221,0.0,2022-02-12
NR UP,17697,0,308.2,91.5,0.3,423,0.0,2022-02-12
Uttarakhand,2154,0,38.9,28.2,1.1,163,0.0,2022-02-12
HP,1738,0,29.7,22.7,0.0,239,0.23,2022-02-12
SJ&K(UT) & Ladakh(UT),2973,250,57.5,53.3,-1.1,169,4.65,2022-02-12
Chandigarh,196,0,3.1,3.6,-0.4,24,0.0,2022-02-12
Chhattisgarh,4222,0,92.6,36.6,0.0,202,0.0,2022-02-12
Gujarat,16664,0,350.5,210.5,1.8,860,0.0,2022-02-12
MP,15297,0,293.8,180.0,-1.9,467,0.0,2022-02-12
WR Maharashtra,25330,0,516.2,146.8,4.3,551,0.0,2022-02-12
DNH,825,0,19.3,19.3,0.0,42,0.0,2022-02-12
AMNSIL,781,0,17.2,5.2,-0.9,162,0.0,2022-02-12
Andhra Pradesh,10883,0,197.5,81.7,0.0,514,0.0,2022-02-12
Telangana,11466,0,213.5,94.1,0.7,1137,0.0,2022-02-12
SR Karnataka,13185,0,237.2,102.2,-1.6,505,0.0,2022-02-12
Kerala,3579,0,711.9,48.3,0.0,308,0.0,2022-02-12
Tamil Nadu,13369,0,284.9,157.5,-1.9,649,0.0,2022-02-12
Puducherry,328,0,75.0,7.4,-0.5,50,0.0,2022-02-12
Bihar,4809,0,82.9,68.3,0.1,317,0.0,2022-02-12
Jharkhand,1500,0,29.8,18.8,0.8,228,2.38,2022-02-12
ER Odisha,5595,0,107.1,45.7,-1.5,336,0.0,2022-02-12
Sikkim,92,0,1.5,1.7,-0.2,19,0.0,2022-02-12
Arunachal Pradesh,186,0,2.4,2.8,-0.5,44,0.0,2022-02-12
Manipur,239,0,3.4,3.5,0.0,20,0.0,2022-02-12
NER Meghalaya,386,0,7.0,6.3,-0.1,56,0.0,2022-02-12
Mizoram,134,0,1.9,1.8,-0.2,20,0.0,2022-02-12
Nagaland,147,0,2.5,2.3,0.1,18,0.0,2022-02-12
Tripura,210,0,3.7,2.0,-0.2,99,0.0,2022-02-12
Central Sector,5986,14680,6112.0,2306.0,334.0,29417,42.0,2022-02-12
Total,18075,31523,15495.0,5231.0,345.0,70669,100.0,2022-02-12
Coal,582,1251,535.0,587.0,13.0,2969,77.0,2022-02-12
Lignite,22,13,44.0,0.0,0.0,80,2.0,2022-02-12
Hydro,104,34,74.0,27.0,8.0,247,6.0,2022-02-12
Nuclear,33,21,69.0,0.0,0.0,124,3.0,2022-02-12
 Naptha & Diesel,12,1,9.0,0.0,30.0,62,2.0,2022-02-12
 Biomass & Others),121,83,181.0,5.0,0.0,391,10.0,2022-02-12
Total,874,1415,912.0,620.0,51.0,3873,100.0,2022-02-12
Punjab,6661,0,124.5,39.9,-0.9,129,0.0,2022-02-13
Haryana,6548,0,126.2,74.6,0.3,164,0.0,2022-02-13
Rajasthan,15410,0,277.1,92.4,0.7,424,0.0,2022-02-13
Delhi,3939,0,65.1,54.7,-2.0,127,0.01,2022-02-13
NR UP,17985,0,315.1,94.1,0.1,344,0.0,2022-02-13
Uttarakhand,1821,0,32.3,21.7,0.6,256,0.0,2022-02-13
HP,1887,0,32.4,24.7,0.1,317,0.0,2022-02-13
J&K(UT) & Ladakh(UT),2950,250,60.1,54.1,0.8,229,4.65,2022-02-13
Chandigarh,224,0,3.5,3.8,-0.3,28,0.0,2022-02-13
Chhattisgarh,4417,0,92.3,35.4,-0.5,200,0.0,2022-02-13
Gujarat,16897,0,362.3,211.6,3.7,654,0.0,2022-02-13
MP,14749,0,293.4,180.5,-13.0,496,0.0,2022-02-13
WR Maharashtra,25511,0,525.4,150.8,-4.0,730,0.0,2022-02-13
Goa,501,0,10.7,9.7,0.7,47,0.0,2022-02-13
DD,333,0,7.3,7.0,0.3,36,0.0,2022-02-13
DNH,858,0,19.6,19.4,0.2,52,0.0,2022-02-13
AMNSIL,773,0,17.4,5.2,-1.0,158,0.0,2022-02-13
Andhra Pradesh,10603,0,194.1,65.5,2.6,1153,2.24,2022-02-13
Telangana,11581,0,218.0,94.1,0.5,688,0.0,2022-02-13
SR Karnataka,13814,0,250.6,102.4,-0.6,781,0.0,2022-02-13
Kerala,3974,0,79.7,57.7,-0.2,243,0.0,2022-02-13
Tamil Nadu,14806,0,307.5,178.1,-1.6,380,0.0,2022-02-13
Puducherry,353,0,7.3,75.0,-0.3,24,0.0,2022-02-13
Bihar,4843,0,82.4,69.9,-0.2,443,0.05,2022-02-13
Jharkhand,1448,0,29.3,18.6,0.8,203,2.17,2022-02-13
ER Odisha,5686,0,107.7,43.5,-1.5,498,0.0,2022-02-13
Sikkim,114,0,1.8,2.0,-0.3,43,0.0,2022-02-13
Arunachal Pradesh,153,0,2.5,2.7,-0.3,36,0.0,2022-02-13
Assam,1475,0,25.1,18.3,0.2,99,0.0,2022-02-13
Manipur,236,0,3.4,3.5,0.1,58,0.0,2022-02-13
NER Meghalaya,397,0,7.2,6.5,-0.2,51,0.0,2022-02-13
Mizoram,128,0,2.0,1.8,-0.2,14,0.0,2022-02-13
Nagaland,148,0,2.6,2.3,0.2,28,0.0,2022-02-13
Tripura,223,0,3.6,2.4,0.1,39,0.0,2022-02-13
Central Sector,6196,13480,6112.0,1856.0,424.0,28067,41.0,2022-02-13
Total,17400,29587,15395.0,5031.0,435.0,67848,100.0,2022-02-13
Coal,613,1273,556.0,582.0,14.0,3039,76.0,2022-02-13
Lignite,23,14,44.0,0.0,0.0,80,2.0,2022-02-13
Hydro,105,40,89.0,27.0,8.0,270,7.0,2022-02-13
Nuclear,33,21,69.0,0.0,0.0,123,3.0,2022-02-13
 Naptha & Diesel,13,13,10.0,0.0,29.0,65,2.0,2022-02-13
 Biomass & Others),122,92,186.0,5.0,0.0,405,10.0,2022-02-13
Total,909,1454,953.0,615.0,52.0,3983,100.0,2022-02-13
Punjab,6770,0,126.3,39.6,-0.5,127,0.0,2022-02-14
Haryana,6673,0,130.4,76.2,1.0,228,0.0,2022-02-14
Rajasthan,15432,0,280.0,89.3,3.0,486,0.0,2022-02-14
Delhi,3917,0,65.4,54.4,-13.0,212,0.0,2022-02-14
NR UP,18104,0,312.3,90.2,0.8,723,0.0,2022-02-14
Uttarakhand,2154,0,37.9,26.7,1.1,224,0.0,2022-02-14
HP,1903,0,33.2,25.0,0.2,266,0.0,2022-02-14
J&K(UT) & Ladakh(UT),2902,250,59.8,54.6,-0.3,193,4.6,2022-02-14
Chandigarh,222,0,3.4,3.7,-0.3,28,0.0,2022-02-14
Chhattisgarh,4456,0,95.4,34.5,-1.0,164,0.0,2022-02-14
Gujarat,16664,0,363.1,213.8,3.4,787,0.0,2022-02-14
MP,14817,0,293.1,178.7,-1.8,401,0.0,2022-02-14
WR Maharashtra,25920,0,535.5,152.1,-3.8,641,0.0,2022-02-14
Goa,588,0,12.1,11.3,0.5,29,0.0,2022-02-14
DD,332,0,75.0,7.3,0.2,43,0.0,2022-02-14
DNH,853,0,19.7,19.6,0.1,57,0.0,2022-02-14
AMNSIL,925,0,19.5,45.0,-0.9,183,0.0,2022-02-14
Andhra Pradesh,10628,3000,189.7,63.9,3.2,1708,8.38,2022-02-14
Telangana,12027,0,220.7,104.1,0.7,852,0.0,2022-02-14
SR Karnataka,14142,0,255.8,101.4,-0.8,693,0.0,2022-02-14
Kerala,4016,0,81.0,58.1,-0.4,203,0.0,2022-02-14
Tamil Nadu,15158,0,317.7,187.0,-0.2,468,0.0,2022-02-14
Puducherry,358,0,7.4,7.8,-0.5,32,0.0,2022-02-14
Bihar,4876,0,80.9,68.3,0.3,356,1.77,2022-02-14
DVC,3263,0,68.1,41.2,22.7,215,0.0,2022-02-14
Jharkhand,1476,296,28.7,18.3,0.9,175,3.76,2022-02-14
ER Odisha,5794,0,108.2,43.3,0.6,685,0.0,2022-02-14
West Bengal,6384,0,120.6,5.2,-0.8,401,0.0,2022-02-14
Arunachal Pradesh,159,0,2.6,2.7,-0.2,30,0.0,2022-02-14
Assam,1477,0,25.5,18.5,0.2,121,0.0,2022-02-14
Manipur,237,0,3.5,3.5,0.0,17,0.0,2022-02-14
Mizoram,128,0,21.0,2.0,-0.2,11,0.0,2022-02-14
Nagaland,155,0,2.6,2.2,0.3,21,0.0,2022-02-14
Tripura,230,0,3.6,2.4,-0.3,24,0.0,2022-02-14
Central Sector,5836,13180,5832.0,2266.0,424.0,27537,41.0,2022-02-14
Total,16830,28577,15055.0,6026.0,435.0,66923,100.0,2022-02-14
Coal,617,1315,559.0,589.0,14.0,3095,77.0,2022-02-14
Lignite,24,14,44.0,0.0,0.0,82,2.0,2022-02-14
Hydro,108,43,100.0,26.0,8.0,286,7.0,2022-02-14
Nuclear,33,21,67.0,0.0,0.0,121,3.0,2022-02-14
 Naptha & Diesel,12,15,9.0,0.0,30.0,67,2.0,2022-02-14
 Biomass & Others),122,90,169.0,5.0,0.0,387,10.0,2022-02-14
Total,916,1499,950.0,621.0,53.0,4038,100.0,2022-02-14
Punjab,6913,0,145.9,38.9,0.2,207,0.1,2022-02-15
Haryana,6824,0,131.8,76.9,1.1,221,0.77,2022-02-15
Rajasthan,15540,0,281.7,81.1,0.5,472,1.96,2022-02-15
Delhi,3985,0,64.3,54.3,-3.0,248,0.0,2022-02-15
