Date,Schedule MW,Actual MW,Deviation MW,Time1,Time2,MU_Schedule,MU_Actual,MU_Deviation,CUF %,Extra_1,Extra_2,Extra_3,Extra_4
2025-03-08,5194,5174,788,23,45,0,20,00,13.24,7.60,-5.64,6.10,24227
2025-03-08,4328,4318,626,22,00,384,12,15,8.60,6.05,-2.55,5.82,5844
2025-03-09,5194,5184,928,01,30,0,20,00,7.98,5.92,-2.06,4.75,24227
2025-03-09,4328,4318,603,01,45,371,09,45,4.27,4.27,0.00,4.11,5844
2025-03-10,5194,5184,766,23,45,0,20,00,8.90,5.85,-3.05,4.69,24227
2025-03-10,4328,4318,744,23,15,379,17,30,5.35,4.57,-0.78,4.40,5844
2025-03-11,5194,5184,1057,02,15,0,20,00,12.20,14.82,2.62,11.89,24227
2025-03-11,4328,4318,1011,02,15,404,16,00,7.84,11.66,3.82,11.23,5844
2025-03-12,5194,5184,951,01,00,0,20,00,12.02,5.83,-6.19,4.68,24227
2025-03-12,4328,4318,650,00,00,367,09,30,7.98,3.91,-4.07,3.76,5844
2025-03-13,5194,5184,1142,03,30,0,20,00,14.13,7.47,-6.66,5.99,24227
2025-03-13,4328,4318,818,03,15,407,09,15,10.43,5.78,-4.65,5.56,5844
2025-03-14,5194,5184,1999,20,15,0,20,00,18.48,15.29,-3.19,12.27,24227
2025-03-14,4328,4318,1332,20,15,388,10,00,12.98,9.28,-3.70,8.93,5844
2025-03-15,5194,5194,754,05,30,0,20,00,15.91,28.90,12.99,23.18,24227
2025-03-15,4328,4328,1272,01,15,406,13,15,10.44,21.44,11.00,20.64,5844
2025-03-16,5194,5184,1471,05,15,0,20,00,19.66,22.69,3.03,18.20,24227
2025-03-16,4328,4318,925,05,30,229,11,00,13.01,15.07,2.06,14.51,5844
2025-03-17,5194,5184,717,00,00,0,20,00,9.73,4.07,-5.66,3.27,24227
2025-03-17,4328,4318,417,00,00,211,18,45,5.91,3.06,-2.85,2.95,5844
2025-03-18,5194,5184,872,23,00,0,20,00,11.78,7.81,-3.97,6.27,24227
2025-03-18,4328,4318,774,23,00,165,15,45,7.91,5.80,-2.11,5.58,5844
2025-03-19,5194,5184,1288,23,45,0,20,00,12.98,10.38,-2.60,8.33,24227
2025-03-19,4328,4318,824,02,15,181,14,15,9.28,8.59,-0.69,8.27,5844
2025-03-20,5194,5184,1662,23,15,0,20,00,13.65,15.41,1.76,12.36,24227
2025-03-20,4328,4318,1112,23,00,211,12,30,8.49,10.09,1.61,9.71,5844
2025-03-21,5194,5184,1540,00,00,0,20,00,14.94,18.18,3.24,14.58,24227
2025-03-21,4328,4318,829,00,00,207,14,15,9.02,11.81,2.79,11.37,5844
2025-03-22,5194,5184,416,23,45,0,20,00,7.46,3.46,-4.00,2.78,24227
2025-03-22,4328,4318,366,23,45,162,07,45,4.28,1.65,-2.63,1.59,5844
2025-03-23,5194,5184,597,23,45,0,20,00,7.22,5.43,-1.79,4.36,24227
2025-03-23,4328,4318,400,23,45,174,10,30,4.04,2.95,-1.09,2.84,5844
2025-03-24,5194,5019,1367,06,30,0,20,00,11.56,17.72,6.16,14.22,24227
2025-03-24,4328,4318,762,06,30,198,12,15,7.11,11.76,4.65,11.32,5844
2025-03-25,5194,5183,1756,23,45,0,20,00,25.23,28.85,3.62,23.14,24227
2025-03-25,4328,4318,1066,23,45,369,09,00,17.29,19.03,1.74,18.32,5844
2025-03-26,5194,5183,908,23,15,0,20,00,9.30,6.40,-2.90,5.13,24227
2025-03-26,4328,4318,743,23,45,433,14,15,5.56,4.29,-1.27,4.13,5844
2025-03-27,5194,5183,1977,00,00,0,20,00,35.69,46.05,10.36,36.94,24227
2025-03-27,4328,4318,1232,00,00,584,09,15,25.90,33.94,8.04,32.67,5844
2025-03-28,5194,5183,1735,04,30,0,20,00,18.53,22.64,4.11,18.16,24227
2025-03-28,4328,4318,1267,01,30,536,14,15,11.07,16.46,5.39,15.85,5844
2025-03-29,5194,5183,2054,06,45,0,20,00,16.89,22.68,5.79,18.19,24227
2025-03-29,4328,4318,1264,05,15,466,17,45,9.81,14.97,5.16,14.41,5844
2025-03-30,5194,5183,2054,6,45,0,20,00,16.89,22.68,5.79,18.19,24227
2025-03-30,4328,4318,1264,05,15,466,17,45,9.81,14.97,5.16,14.41,5844
2025-03-31,5194,5183,908,23,15,0,20,00,9.30,6.40,-2.90,5.13,24227
2025-03-31,4328,4318,743,23,45,433,14,15,5.56,4.29,-1.27,4.13,5844
2025-04-01,5194,5183,979,1,30,0,20,00,10.73,6.58,-4.15,5.28,24227
2025-04-01,4328,4318,930,01,30,435,17,30,6.78,5.15,-1.63,4.96,5844
2025-04-02,5194,5183,1302,08,15,0,20,00,13.80,10.05,-3.75,8.06,24227
2025-04-02,4328,4318,886,08,15,421,23,15,8.95,6.79,-2.16,6.54,5844
2025-04-03,5194,5183,1477,23,45,0,20,00,16.57,11.29,-5.28,9.06,24227
2025-04-03,4328,4318,997,20,15,495,00,00,12.15,9.17,-2.98,8.83,5844
2025-04-04,5194,5183,1775,05,15,0,20,00,18.94,20.45,1.52,16.41,24227
2025-04-04,4328,4318,1155,06,00,443,23,45,12.67,14.78,2.11,14.23,5844
2025-04-05,5194,5183,1124,03,45,0,20,00,14.95,12.87,-2.08,10.32,24227
2025-04-05,4328,4318,876,03,45,240,11,45,10.11,8.63,-1.48,8.31,5844
2025-04-06,5194,5183,1614,01,30,0,20,00,20.04,23.68,3.64,19.00,24227
2025-04-06,4328,4318,874,01,30,222,09,30,12.74,14.94,2.20,14.38,5844
2025-04-07,5194,5183,1924,22,45,0,20,00,19.89,26.66,6.77,21.39,24402
2025-04-07,4328,4318,1152,22,45,235,10,15,12.25,18.69,6.44,17.99,6019
2025-04-08,5194,5183,2018,23,45,0,20,00,28.41,42.95,14.54,34.46,24227
2025-04-08,4328,4318,1230,23,45,404,17,00,19.59,30.84,11.25,29.69,5844
2025-04-09,5194,5183,2024,00,15,0,20,00,28.05,30.68,2.63,24.61,24227
2025-04-09,4328,4318,1256,01,00,263,08,45,19.92,21.70,1.78,20.89,5844
2025-04-10,5194,5183,1811,23,15,0,20,00,25.56,31.30,5.74,25.11,24227
2025-04-10,4328,4318,1029,23,15,271,10,00,17.31,21.90,4.59,21.08,5844
2025-04-11,5194,5183,1761,0,00,0,20,00,31.45,34.19,2.74,27.43,24227
2025-04-11,4328,4318,1001,00,00,524,05,30,22.34,24.78,2.44,23.86,5844
2025-04-12,5194,5183,1491,00,15,0,20,00,20.91,21.35,0.45,17.13,24227
2025-04-12,4328,4318,815,01,15,414,17,30,13.50,15.51,2.01,14.93,5844
2025-04-13,5194,5183,1219,23,45,0,20,00,15.20,14.14,-1.06,11.34,24227
2025-04-13,4328,4318,656,16,15,387,12,15,8.81,8.58,-0.23,8.26,5844
2025-04-14,5194,5183,1559,01,45,0,20,00,15.91,15.59,-0.32,12.51,24402
2025-04-14,4328,4318,816,01,45,299,13,00,9.21,9.74,0.53,9.38,6019
2025-04-15,5194,5183,974,03,30,0,20,00,13.18,10.00,-3.18,8.02,24651
2025-04-15,4328,4318,517,22,45,256,12,30,7.39,6.03,-1.36,5.81,6030
2025-04-16,5194,5183,1831,23,30,0,20,00,16.37,16.04,-0.33,12.87,24651
2025-04-16,4328,4318,1203,23,30,261,08,30,10.59,10.99,0.40,10.58,6030
2025-04-17,5194,5183,1995,22,00,0,20,00,24.11,29.85,5.74,23.95,24651
2025-04-17,4328,4318,1314,22,00,397,10,45,16.16,20.97,4.81,20.19,6030
2025-04-18,5194,5183,2295,22,00,0,20,00,44.09,57.91,13.82,46.46,24651
2025-04-18,4328,4318,1593,21,45,658,09,30,33.59,43.76,10.17,42.13,6030
2025-04-19,5194,5183,2051,04,00,0,20,00,37.79,47.15,9.36,37.82,24651
2025-04-19,4328,4318,1334,04,00,667,19,45,28.04,36.21,8.17,34.86,6030
2025-04-20,5194,5183,1779,02,00,0,20,00,26.97,32.55,5.58,26.11,24651
2025-04-20,4328,4318,1173,02,00,476,09,30,18.42,23.31,4.89,22.44,6030
2025-04-21,5194,5183,1215,21,30,0,20,00,17.59,15.98,-1.61,12.82,24651
2025-04-21,4328,4318,889,21,00,347,11,30,11.19,11.91,0.72,11.47,6030
2025-04-22,5194,5059,1127,00,00,0,20,00,18.29,15.12,-3.17,12.13,24651
2025-04-22,4328,4194,720,00,00,296,09,15,11.41,10.71,-0.70,10.31,6030
2025-04-23,5194,5059,1108,23,45,0,20,00,15.64,9.02,-6.62,7.24,24651
2025-04-23,4328,4194,659,21,15,280,08,45,9.72,6.32,-3.40,6.08,6030
2025-04-24,5194,5059,1589,02,45,0,20,00,22.00,25.63,3.63,20.56,24651
2025-04-24,4328,4194,861,02,15,287,09,00,14.05,16.04,1.99,15.44,6030
2025-04-25,5194,5059,1589,02,45,0,20,00,22.00,25.63,3.63,20.56,24651
2025-04-25,4328,4194,861,02,15,287,09,00,14.05,16.04,1.99,15.44,6030
2025-04-26,5194,5059,1425,4,00,376,9,45,18.52,15.56,-2.96,12.48,24651
2025-04-26,4328,4194,782,05,15,337,09,30,10.80,10.63,-0.17,10.23,6030
2025-04-27,5194,5059,889,23,45,344,10,15,12.53,5.85,-6.68,4.69,25495
2025-04-27,4328,4194,610,01,15,338,10,15,7.87,3.84,-4.03,3.70,6030
2025-04-28,5194,5059,1040,23,00,322,10,00,14.63,12.18,-2.45,9.77,25495
2025-04-28,4328,4194,625,23,30,317,10,00,8.57,7.60,-0.97,7.32,6030
2025-04-29,5194,5059,1247,02,00,326,08,15,15.36,12.23,-3.13,9.81,25495
2025-04-29,4328,4194,1049,01,45,321,08,15,10.15,9.45,-0.70,9.10,6030
2025-04-30,5194,5059,1695,23,45,366,09,45,18.22,20.59,2.37,16.52,25495
2025-04-30,4328,4194,1002,23,45,337,10,30,11.51,13.82,2.31,13.30,6030
2025-05-01,5194,5059,1987,00,30,358,09,45,23.81,24.50,0.69,19.65,25495
2025-05-01,4328,4194,1274,00,30,310,09,30,14.88,16.46,1.58,15.85,6030
2025-05-02,5194,5059,1533,23,45,344,20,45,16.85,17.16,0.31,13.77,25495
2025-05-02,4328,4194,1210,23,45,292,14,15,11.14,12.63,1.49,12.16,6030
2025-05-03,5194,5059,1828,00,45,344,10,15,17.79,19.04,1.25,15.27,25495
2025-05-03,4328,4194,1222,00,00,277,10,30,11.92,13.14,1.22,12.65,6030
2025-05-05,5194,5059,1622,02,15,339,18,00,16.01,22.27,6.26,17.87,25495
2025-05-05,4328,4194,905,02,15,236,15,15,9.55,16.90,7.35,16.27,6030
2025-05-06,5194,5059,889,1,30,345,10,30,13.56,12.11,-1.45,9.71,25595
2025-05-06,4328,4194,682,01,30,286,04,30,8.53,7.90,-0.63,7.61,6030
2025-05-07,5194,5059,962,23,45,252,07,30,11.70,6.88,-4.82,5.52,25495
2025-05-08,5194,5059,1513,21,45,276,14,00,15.65,19.59,3.94,15.72,25495
2025-05-08,4328,4194,884,21,45,269,14,00,9.69,13.65,3.96,13.14,6030
2025-05-09,5194,5059,1469,03,15,329,21,00,14.92,20.13,5.21,16.15,25495
2025-05-09,4328,4194,1100,03,15,258,22,15,9.68,13.71,4.03,13.20,6030
2025-05-10,5194,5059,598,06,30,248,11,15,11.41,5.77,-5.64,4.63,25495
2025-05-10,4328,4194,415,04,15,248,10,15,7.39,4.08,-3.31,3.93,6030
2025-05-11,5194,5059,1540,23,45,346,08,45,16.42,16.16,-0.26,12.96,25495
2025-05-11,4328,4194,925,22,15,328,08,15,11.24,11.77,0.53,11.33,6030
2025-05-12,5194,5059,1669,23,45,804,09,30,27.97,44.11,16.14,35.39,25495
2025-05-12,4328,4194,1098,22,45,650,09,30,19.92,34.59,14.67,33.30,6030
2025-05-13,5194,5059,1743,0,15,617,8,00,25.94,40.12,14.18,32.19,25495
2025-05-13,4328,4194,1072,00,15,435,08,30,18.30,30.97,12.67,29.82,6030
2025-05-14,5194,5059,1406,00,00,610,16,45,22.30,27.91,5.61,22.39,25495
2025-05-14,4328,4194,946,11,00,496,16,45,15.31,20.93,5.62,20.15,6030
2025-05-15,5194,5059,1804,23,30,634,18,00,23.41,28.77,5.36,23.08,25573
2025-05-15,4328,4194,1115,23,45,552,16,45,15.91,21.57,5.66,20.77,6030
2025-05-16,5194,5059,2019,23,45,1040,14,45,31.27,49.16,17.89,39.44,25573
2025-05-16,4328,4194,1311,23,30,769,08,45,22.92,34.17,11.25,32.90,6030
2025-05-17,5194,5059,2183,02,15,909,05,30,34.32,46.81,12.49,37.55,25573
2025-05-17,4328,4194,1444,01,45,703,05,30,25.34,37.48,12.14,36.08,6030
2025-05-19,5194,5059,2195,00,30,1259,14,15,37.79,61.23,23.44,49.12,25573
2025-05-19,4328,4194,1456,00,30,777,20,00,28.56,50.07,21.51,48.20,6030
2025-05-20,5194,5059,1837,3,30,625,17,15,28.22,36.81,8.59,29.53,26188
2025-05-20,4328,4194,1247,03,30,425,15,45,19.11,27.27,8.16,26.25,6030
