Source,NR,WR,SR,ER,NER,All India,% Share,Date
Total,12343.0,34623.0,15610.0,3256.0,650.0,66482.0,100,
Coal,620.0,1146.0,515.0,582.0,8.0,2871.0,7,2022-01-24
Lignite,30.0,14.0,37.0,0.0,0.0,81.0,2,2022-01-24
Hydro,95.0,32.0,93.0,23.0,9.0,252.0,7,2022-01-24
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-24
"Gas, Naptha & Diesel",15.0,11.0,9.0,0.0,29.0,63.0,2,2022-01-24
"RES (Wind, Solar, Biomass & Others)",105.0,88.0,134.0,5.0,0.0,333.0,9,2022-01-24
Total,892.0,1313.0,858.0,610.0,46.0,3720.0,100,2022-01-24
Total,13208.0,33483.0,15690.0,3616.0,650.0,66647.0,100,
Coal,636.0,1163.0,534.0,581.0,9.0,2924.0,76,2022-01-25
Lignite,27.0,14.0,40.0,0.0,0.0,82.0,2,2022-01-25
Hydro,95.0,39.0,88.0,24.0,9.0,255.0,7,2022-01-25
Nuclear,29.0,21.0,70.0,0.0,0.0,120.0,3,2022-01-25
"RES (Wind, Solar, Biomass & Others)",107.0,115.0,165.0,5.0,0.0,393.0,10,2022-01-25
Total,909.0,1364.0,906.0,610.0,47.0,3836.0,100,2022-01-25
Total,14633.0,32958.0,15770.0,4156.0,650.0,68167.0,100,
Lignite,27.0,15.0,40.0,0.0,0.0,82.0,2,
Hydro,95.0,36.0,83.0,21.0,9.0,244.0,6,
Nuclear,31.0,21.0,69.0,0.0,0.0,122.0,3,
"Gas, Naptha & Diesel",15.0,10.0,1.0,0.0,28.0,61.0,2,
"RES (Wind, Solar, Biomass & Others)",111.0,119.0,232.0,5.0,0.0,467.0,12,
Total,913.0,1408.0,961.0,617.0,47.0,3946.0,100,
Total,12898.0,33848.0,16960.0,4746.0,650.0,69102.0,100,
Coal,648.0,1226.0,528.0,570.0,10.0,2982.0,76,2022-01-26
Lignite,27.0,14.0,43.0,0.0,0.0,84.0,2,2022-01-26
Hydro,95.0,36.0,104.0,23.0,9.0,267.0,7,2022-01-26
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-26
"Gas, Naptha & Diesel",15.0,12.0,1.0,0.0,28.0,63.0,2,2022-01-26
"RES (Wind, Solar, Biomass & Others)",111.0,79.0,200.0,5.0,0.0,395.0,10,2022-01-26
Total,924.0,1389.0,951.0,598.0,47.0,3909.0,100,2022-01-26
Total,13168.0,34313.0,16420.0,6016.0,900.0,70817.0,100,
Coal,643.0,1214.0,522.0,563.0,6.0,2948.0,71,2022-01-27
Lignite,27.0,12.0,43.0,0.0,0.0,82.0,2,2022-01-27
Hydro,91.0,31.0,85.0,24.0,9.0,240.0,6,2022-01-27
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-27
"Gas, Naptha & Diesel",15.0,12.0,8.0,0.0,29.0,64.0,2,2022-01-27
"RES (Wind, Solar, Biomass & Others)",111.0,77.0,166.0,5.0,0.0,360.0,9,2022-01-27
Total,916.0,1367.0,893.0,592.0,44.0,3812.0,100,2022-01-27
Total,11668.0,32268.0,17100.0,5916.0,650.0,67602.0,100,
Coal,683.0,1249.0,544.0,569.0,8.0,3053.0,77,2022-01-28
Lignite,22.0,9.0,42.0,0.0,0.0,73.0,2,2022-01-28
Hydro,100.0,42.0,114.0,26.0,9.0,291.0,7,2022-01-28
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-28
"Gas, Naptha & Diesel",15.0,12.0,9.0,0.0,30.0,66.0,2,2022-01-28
"RES (Wind, Solar, Biomass & Others)",104.0,95.0,157.0,5.0,0.0,362.0,9,2022-01-28
Total,12108.0,31964.0,16160.0,7776.0,685.0,68693.0,100,2022-01-28
Coal,699.0,1282.0,506.0,561.0,10.0,3058.0,77,2022-01-29
Lignite,27.0,10.0,41.0,0.0,0.0,78.0,2,2022-01-29
Hydro,98.0,41.0,120.0,25.0,9.0,292.0,7,2022-01-29
Nuclear,28.0,21.0,69.0,0.0,0.0,119.0,3,2022-01-29
"Gas, Naptha & Diesel",15.0,13.0,9.0,0.0,29.0,66.0,2,2022-01-29
"RES (Wind, Solar, Biomass & Others)",109.0,73.0,152.0,5.0,0.0,339.0,9,2022-01-29
Total,12128.0,31759.0,16160.0,8086.0,685.0,68818.0,100,2022-01-29
Coal,683.0,1275.0,556.0,550.0,10.0,3074.0,7,2022-01-30
Hydro,98.0,41.0,110.0,26.0,9.0,283.0,7,2022-01-30
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-30
"Gas, Naptha & Diesel",15.0,12.0,9.0,0.0,29.0,66.0,2,2022-01-30
"RES (Wind, Solar, Biomass & Others)",128.0,102.0,157.0,5.0,0.0,392.0,10,2022-01-30
Total,980.0,1462.0,945.0,581.0,48.0,4016.0,100,2022-01-30
Total,12885.0,29649.0,16565.0,5756.0,435.0,65289.0,100,
Coal,658.0,1234.0,528.0,536.0,13.0,2968.0,75,2022-01-31
Lignite,27.0,10.0,44.0,0.0,0.0,81.0,2,2022-01-31
Hydro,94.0,33.0,99.0,25.0,9.0,259.0,7,2022-01-31
Nuclear,29.0,21.0,69.0,0.0,0.0,119.0,3,2022-01-31
"Gas, Naptha & Diesel",15.0,12.0,9.0,0.0,29.0,65.0,2,2022-01-31
"RES (Wind, Solar, Biomass & Others)",117.0,151.0,171.0,5.0,0.0,443.0,1,2022-01-31
Total,939.0,1461.0,919.0,565.0,51.0,3935.0,100,2022-01-31
Total,14250.0,28383.0,16255.0,5256.0,380.0,64523.0,100,
Coal,648.0,1294.0,515.0,559.0,13.0,3028.0,71,2022-02-01
Lignite,26.0,12.0,47.0,0.0,0.0,84.0,2,2022-02-01
Hydro,96.0,34.0,91.0,23.0,8.0,253.0,6,2022-02-01
Nuclear,30.0,21.0,70.0,0.0,0.0,121.0,3,2022-02-01
"Gas, Naptha & Diesel",15.0,12.0,9.0,0.0,29.0,65.0,2,2022-02-01
"RES (Wind, Solar, Biomass & Others)",115.0,85.0,181.0,4.0,0.0,386.0,10,2022-02-01
Total,929.0,1460.0,912.0,586.0,51.0,3937.0,100,2022-02-01
Total,14650.0,30451.0,14745.0,60.0,380.0,60285.0,100,
Coal,640.0,1293.0,545.0,572.0,14.0,3064.0,77,2022-02-02
Lignite,24.0,11.0,48.0,0.0,0.0,83.0,2,2022-02-02
Hydro,101.0,37.0,94.0,27.0,10.0,269.0,7,2022-02-02
Nuclear,33.0,21.0,69.0,0.0,0.0,124.0,3,2022-02-02
"Gas, Naptha & Diesel",15.0,13.0,9.0,0.0,29.0,65.0,2,2022-02-02
"RES (Wind, Solar, Biomass & Others)",116.0,70.0,158.0,5.0,0.0,350.0,9,2022-02-02
Total,929.0,1445.0,923.0,604.0,53.0,3954.0,100,2022-02-02
Total,14520.0,30576.0,13735.0,5016.0,380.0,64226.0,100,
Coal,618.0,1234.0,533.0,561.0,13.0,2959.0,77,2022-02-03
Lignite,25.0,10.0,46.0,0.0,0.0,82.0,2,2022-02-03
Hydro,101.0,28.0,7.0,24.0,13.0,244.0,6,2022-02-03
Nuclear,33.0,21.0,70.0,0.0,0.0,124.0,3,2022-02-03
"Gas, Naptha & Diesel",15.0,12.0,9.0,0.0,29.0,65.0,2,2022-02-03
"RES (Wind, Solar, Biomass & Others)",121.0,83.0,167.0,5.0,0.0,376.0,10,2022-02-03
Total,913.0,1388.0,904.0,589.0,56.0,3849.0,100,2022-02-03
Total,16050.0,28991.0,14415.0,5096.0,355.0,61976.0,100,
Coal,636.0,1289.0,582.0,584.0,14.0,3105.0,77,2022-02-04
Lignite,27.0,8.0,45.0,0.0,0.0,81.0,2,2022-02-04
Hydro,103.0,46.0,96.0,26.0,10.0,281.0,7,2022-02-04
Nuclear,33.0,21.0,70.0,0.0,0.0,124.0,3,2022-02-04
"Gas, Naptha & Diesel",15.0,14.0,9.0,0.0,30.0,68.0,2,2022-02-04
"RES (Wind, Solar, Biomass & Others)",105.0,77.0,166.0,5.0,0.0,354.0,9,2022-02-04
Total,919.0,1455.0,968.0,615.0,54.0,4011.0,100,2022-02-04
Total,15358.0,28331.0,14425.0,5781.0,380.0,64275.0,100,
Coal,634.0,1316.0,595.0,586.0,14.0,3145.0,77,2022-02-05
Lignite,27.0,10.0,49.0,0.0,0.0,86.0,2,2022-02-05
Hydro,103.0,48.0,89.0,29.0,10.0,279.0,7,2022-02-05
