Source,NR,WR,SR,ER,NER,All India,% Share,Date
Nuclear,31.0,36.0,69.0,0.0,0.0,135.0,3,2022-09-21
"Gas, Naptha & Diesel",5.0,2.0,6.0,0.0,24.0,37.0,1,2022-09-21
"RES (Wind, Solar, Biomass & Others)",134.0,115.0,149.0,6.0,1.0,405.0,10,2022-09-21
Total,1012.0,1262.0,847.0,694.0,66.0,3882.0,100,2022-09-21
Total,15887.0,34307.0,18298.0,3040.0,640.0,72171.0,100,
Coal,573.0,986.0,404.0,543.0,12.0,2519.0,67,2022-09-22
Lignite,25.0,16.0,37.0,0.0,0.0,77.0,2,2022-09-22
Hydro,200.0,95.0,147.0,120.0,26.0,587.0,16,2022-09-22
Nuclear,31.0,36.0,69.0,0.0,0.0,136.0,4,2022-09-22
"Gas, Naptha & Diesel",5.0,3.0,6.0,0.0,23.0,36.0,1,2022-09-22
"RES (Wind, Solar, Biomass & Others)",129.0,104.0,146.0,6.0,1.0,385.0,10,2022-09-22
Total,962.0,1238.0,808.0,669.0,62.0,3740.0,100,2022-09-22
Total,15297.0,34234.0,16423.0,2530.0,408.0,68891.0,100,
Coal,612.0,1047.0,442.0,570.0,13.0,2684.0,69,2022-09-23
Lignite,25.0,16.0,34.0,0.0,0.0,75.0,2,2022-09-23
Hydro,189.0,95.0,157.0,120.0,24.0,585.0,15,2022-09-23
Nuclear,31.0,36.0,61.0,0.0,0.0,127.0,3,2022-09-23
"Gas, Naptha & Diesel",8.0,5.0,6.0,0.0,30.0,47.0,1,2022-09-23
"RES (Wind, Solar, Biomass & Others)",125.0,88.0,152.0,5.0,1.0,371.0,10,2022-09-23
Total,989.0,1286.0,852.0,695.0,67.0,3889.0,100,2022-09-23
Total,16292.0,33944.0,15673.0,3930.0,408.0,70246.0,100,
Coal,631.0,1059.0,459.0,569.0,13.0,2731.0,69,2022-09-24
Lignite,24.0,17.0,45.0,0.0,0.0,86.0,2,2022-09-24
Hydro,180.0,82.0,152.0,121.0,22.0,557.0,14,2022-09-24
Nuclear,31.0,36.0,60.0,0.0,0.0,126.0,3,2022-09-24
"Gas, Naptha & Diesel",8.0,4.0,1.0,0.0,30.0,49.0,1,2022-09-24
"RES (Wind, Solar, Biomass & Others)",127.0,5.0,190.0,5.0,1.0,397.0,10,2022-09-24
Total,1000.0,1272.0,912.0,695.0,66.0,3945.0,100,2022-09-24
Total,14672.0,32884.0,15483.0,4455.0,420.0,67914.0,100,
Lignite,21.0,16.0,50.0,0.0,0.0,87.0,2,
Hydro,175.0,92.0,154.0,114.0,22.0,557.0,14,
Nuclear,31.0,36.0,61.0,0.0,0.0,127.0,3,
"Gas, Naptha & Diesel",13.0,4.0,7.0,0.0,30.0,53.0,1,
"RES (Wind, Solar, Biomass & Others)",137.0,78.0,184.0,5.0,1.0,404.0,10,
Total,16327.0,32404.0,15003.0,4455.0,420.0,68609.0,100,
Coal,631.0,1089.0,469.0,544.0,12.0,2745.0,69,2022-09-25
Lignite,22.0,16.0,48.0,0.0,0.0,86.0,2,2022-09-25
Nuclear,31.0,36.0,68.0,0.0,0.0,134.0,3,2022-09-25
"Gas, Naptha & Diesel",14.0,4.0,7.0,0.0,29.0,55.0,1,2022-09-25
"RES (Wind, Solar, Biomass & Others)",141.0,73.0,166.0,5.0,1.0,386.0,10,2022-09-25
Total,1009.0,1312.0,917.0,661.0,64.0,3963.0,100,2022-09-25
Total,14842.0,34189.0,14163.0,3445.0,420.0,67059.0,100,
Coal,641.0,1050.0,484.0,545.0,12.0,2732.0,69,2022-09-26
Lignite,26.0,14.0,44.0,0.0,0.0,84.0,2,2022-09-26
Hydro,176.0,83.0,148.0,104.0,21.0,532.0,14,2022-09-26
Nuclear,31.0,38.0,70.0,0.0,0.0,139.0,4,2022-09-26
"Gas, Naptha & Diesel",12.0,2.0,7.0,0.0,30.0,50.0,1,2022-09-26
"RES (Wind, Solar, Biomass & Others)",127.0,108.0,160.0,5.0,1.0,402.0,10,2022-09-26
Total,1012.0,1296.0,913.0,654.0,64.0,3940.0,100,2022-09-26
Total,14502.0,35582.0,16213.0,4350.0,420.0,71006.0,100,
Coal,622.0,1006.0,463.0,545.0,12.0,2647.0,69,2022-09-27
Lignite,28.0,14.0,56.0,0.0,0.0,98.0,3,2022-09-27
Hydro,176.0,54.0,138.0,98.0,20.0,486.0,13,2022-09-27
Nuclear,31.0,40.0,69.0,0.0,0.0,140.0,4,2022-09-27
"Gas, Naptha & Diesel",12.0,2.0,6.0,0.0,30.0,49.0,1,2022-09-27
"RES (Wind, Solar, Biomass & Others)",129.0,127.0,182.0,6.0,1.0,445.0,12,2022-09-27
Total,997.0,1243.0,913.0,648.0,62.0,3864.0,100,2022-09-27
Total,17032.0,38157.0,19113.0,4350.0,387.0,79038.0,100,
Coal,568.0,944.0,398.0,530.0,11.0,2452.0,67,2022-09-28
Lignite,28.0,14.0,54.0,0.0,0.0,96.0,3,2022-09-28
Hydro,178.0,51.0,143.0,95.0,20.0,487.0,13,2022-09-28
Nuclear,31.0,41.0,66.0,0.0,0.0,137.0,4,2022-09-28
"Gas, Naptha & Diesel",12.0,2.0,6.0,0.0,30.0,50.0,1,2022-09-28
"RES (Wind, Solar, Biomass & Others)",122.0,92.0,206.0,6.0,1.0,427.0,12,2022-09-28
Total,939.0,1145.0,873.0,631.0,61.0,3648.0,100,2022-09-28
Total,18502.0,40677.0,21123.0,6610.0,563.0,87474.0,100,
Coal,514.0,860.0,346.0,468.0,10.0,2198.0,66,2022-09-29
Hydro,175.0,43.0,142.0,96.0,20.0,475.0,14,2022-09-29
Nuclear,31.0,41.0,66.0,0.0,0.0,137.0,4,2022-09-29
"Gas, Naptha & Diesel",12.0,2.0,7.0,0.0,27.0,47.0,1,2022-09-29
"RES (Wind, Solar, Biomass & Others)",124.0,80.0,193.0,6.0,0.0,402.0,12,2022-09-29
Total,882.0,1037.0,806.0,570.0,57.0,3351.0,100,2022-09-29
Total,19652.0,41777.0,18563.0,7520.0,806.0,88317.0,100,
Coal,470.0,832.0,340.0,428.0,9.0,2079.0,63,2022-09-30
Lignite,26.0,10.0,51.0,0.0,0.0,87.0,3,2022-09-30
Hydro,170.0,42.0,138.0,97.0,31.0,479.0,15,2022-09-30
Nuclear,31.0,41.0,68.0,0.0,0.0,140.0,4,2022-09-30
"Gas, Naptha & Diesel",12.0,2.0,1.0,0.0,23.0,43.0,1,2022-09-30
"RES (Wind, Solar, Biomass & Others)",136.0,115.0,194.0,6.0,0.0,451.0,14,2022-09-30
Total,845.0,1042.0,798.0,531.0,63.0,3279.0,100,2022-09-30
Total,19616.0,42752.0,16568.0,7630.0,526.0,87091.0,100,
Coal,519.0,894.0,409.0,468.0,8.0,2298.0,66,2022-10-01
Lignite,26.0,10.0,57.0,0.0,0.0,93.0,3,2022-10-01
Hydro,166.0,32.0,148.0,94.0,34.0,474.0,14,2022-10-01
Nuclear,31.0,41.0,70.0,0.0,0.0,141.0,4,2022-10-01
"Gas, Naptha & Diesel",14.0,4.0,6.0,0.0,28.0,52.0,1,2022-10-01
"RES (Wind, Solar, Biomass & Others)",133.0,90.0,191.0,6.0,0.0,420.0,12,2022-10-01
Total,888.0,1070.0,882.0,567.0,70.0,3478.0,100,2022-10-01
Total,18705.0,42432.0,16993.0,7630.0,450.0,86210.0,100,
Coal,570.0,971.0,457.0,503.0,13.0,2513.0,68,2022-10-02
Lignite,24.0,10.0,59.0,0.0,0.0,93.0,3,2022-10-02
Hydro,164.0,44.0,158.0,91.0,36.0,492.0,13,2022-10-02
Nuclear,30.0,39.0,70.0,0.0,0.0,140.0,4,2022-10-02
"Gas, Naptha & Diesel",16.0,4.0,5.0,0.0,28.0,53.0,1,2022-10-02
"RES (Wind, Solar, Biomass & Others)",132.0,81.0,177.0,5.0,1.0,395.0,11,2022-10-02
Total,18360.0,38252.0,17943.0,7170.0,813.0,82538.0,100,2022-10-02
Coal,608.0,1007.0,474.0,539.0,13.0,2640.0,70,2022-10-03
Hydro,163.0,42.0,158.0,83.0,36.0,482.0,13,2022-10-03
Nuclear,26.0,36.0,70.0,0.0,0.0,132.0,3,2022-10-03
"Gas, Naptha & Diesel",15.0,4.0,5.0,0.0,23.0,46.0,1,2022-10-03
"RES (Wind, Solar, Biomass & Others)",124.0,84.0,171.0,5.0,1.0,385.0,10,2022-10-03
Total,958.0,1184.0,935.0,627.0,74.0,3777.0,100,2022-10-03
Total,19537.0,37072.0,18083.0,6970.0,1084.0,82745.0,100,
Coal,606.0,1032.0,448.0,536.0,13.0,2635.0,70,2022-10-04
Lignite,24.0,12.0,56.0,0.0,0.0,92.0,2,2022-10-04
Hydro,160.0,36.0,154.0,78.0,33.0,461.0,12,2022-10-04
Nuclear,26.0,36.0,70.0,0.0,0.0,132.0,4,2022-10-04
"Gas, Naptha & Diesel",14.0,3.0,4.0,0.0,23.0,44.0,1,2022-10-04
"RES (Wind, Solar, Biomass & Others)",115.0,100.0,193.0,5.0,1.0,415.0,11,2022-10-04
Total,945.0,1219.0,926.0,619.0,69.0,3778.0,100,2022-10-04
Total,18042.0,36922.0,16378.0,8090.0,1021.0,80452.0,100,
Coal,591.0,1019.0,416.0,513.0,8.0,2547.0,71,2022-10-05
Lignite,25.0,13.0,47.0,0.0,0.0,85.0,2,2022-10-05
Hydro,151.0,29.0,116.0,73.0,29.0,397.0,11,2022-10-05
Nuclear,26.0,40.0,66.0,0.0,0.0,132.0,4,2022-10-05
"Gas, Naptha & Diesel",12.0,2.0,4.0,0.0,24.0,41.0,1,2022-10-05
"RES (Wind, Solar, Biomass & Others)",119.0,113.0,164.0,6.0,1.0,402.0,11,2022-10-05
Total,924.0,1214.0,813.0,591.0,62.0,3604.0,100,2022-10-05
Total,16242.0,33209.0,16103.0,6260.0,77.0,72584.0,100,
Coal,618.0,1061.0,474.0,514.0,10.0,2677.0,70,2022-10-06
Lignite,31.0,13.0,53.0,0.0,0.0,96.0,3,2022-10-06
Nuclear,26.0,41.0,70.0,0.0,0.0,137.0,4,2022-10-06
"Gas, Naptha & Diesel",15.0,4.0,5.0,0.0,24.0,48.0,1,2022-10-06
"RES (Wind, Solar, Biomass & Others)",122.0,101.0,198.0,5.0,1.0,427.0,11,2022-10-06
Total,963.0,1255.0,941.0,592.0,61.0,3813.0,100,2022-10-06
Total,17642.0,33392.0,16523.0,4750.0,846.0,73152.0,100,
Coal,626.0,1096.0,480.0,548.0,14.0,2765.0,72,2022-10-07
Lignite,34.0,13.0,56.0,0.0,0.0,103.0,3,2022-10-07
Hydro,150.0,31.0,154.0,722.0,23.0,430.0,1,2022-10-07
Nuclear,26.0,41.0,70.0,0.0,0.0,137.0,4,2022-10-07
"Gas, Naptha & Diesel",14.0,10.0,3.0,0.0,24.0,50.0,1,2022-10-07
"RES (Wind, Solar, Biomass & Others)",129.0,85.0,128.0,5.0,1.0,348.0,9,2022-10-07
Total,979.0,1275.0,891.0,626.0,63.0,3833.0,100,2022-10-07
Total,18038.0,32364.0,17003.0,5150.0,896.0,73451.0,100,
Coal,616.0,1125.0,476.0,564.0,15.0,2794.0,72,2022-10-08
Lignite,33.0,12.0,51.0,0.0,0.0,96.0,2,2022-10-08
Hydro,152.0,36.0,159.0,74.0,23.0,444.0,12,2022-10-08
Nuclear,26.0,40.0,70.0,0.0,0.0,136.0,4,2022-10-08
"RES (Wind, Solar, Biomass & Others)",118.0,86.0,133.0,5.0,1.0,342.0,9,2022-10-08
Total,959.0,1302.0,892.0,643.0,63.0,3859.0,100,2022-10-08
Total,17973.0,32144.0,17593.0,4640.0,867.0,73217.0,100,
Coal,623.0,1144.0,477.0,568.0,15.0,2827.0,73,2022-10-09
Lignite,30.0,10.0,46.0,0.0,0.0,87.0,2,2022-10-09
Hydro,147.0,34.0,150.0,69.0,22.0,423.0,11,2022-10-09
Nuclear,26.0,40.0,70.0,0.0,0.0,136.0,3,2022-10-09
"Gas, Naptha & Diesel",15.0,0.0,4.0,0.0,24.0,42.0,1,2022-10-09
"RES (Wind, Solar, Biomass & Others)",137.0,90.0,139.0,5.0,1.0,371.0,10,2022-10-09
Total,978.0,1318.0,887.0,642.0,62.0,3887.0,100,2022-10-09
Total,19047.0,32109.0,17483.0,4890.0,7.0,74299.0,100,
Lignite,28.0,10.0,48.0,0.0,0.0,85.0,2,
Hydro,143.0,46.0,146.0,71.0,22.0,428.0,11,
Nuclear,26.0,40.0,62.0,0.0,0.0,128.0,3,
"Gas, Naptha & Diesel",15.0,5.0,4.0,0.0,24.0,48.0,1,
"RES (Wind, Solar, Biomass & Others)",139.0,83.0,177.0,5.0,1.0,405.0,10,
Total,971.0,1329.0,918.0,636.0,62.0,3916.0,100,
Total,19457.0,31187.0,18643.0,4980.0,1093.0,75359.0,100,
Coal,614.0,1153.0,476.0,561.0,10.0,2814.0,72,2022-10-10
Lignite,24.0,8.0,45.0,0.0,0.0,76.0,2,2022-10-10
Hydro,141.0,50.0,153.0,70.0,21.0,436.0,11,2022-10-10
Nuclear,26.0,40.0,60.0,0.0,0.0,126.0,3,2022-10-10
"Gas, Naptha & Diesel",14.0,2.0,4.0,0.0,24.0,43.0,1,2022-10-10
"RES (Wind, Solar, Biomass & Others)",155.0,80.0,188.0,5.0,1.0,430.0,11,2022-10-10
Total,974.0,1333.0,926.0,636.0,56.0,3924.0,100,2022-10-10
Total,20457.0,30489.0,18423.0,5650.0,731.0,75750.0,100,
Coal,589.0,1153.0,449.0,562.0,10.0,2765.0,73,2022-10-11
Lignite,20.0,7.0,41.0,0.0,0.0,68.0,2,2022-10-11
Nuclear,26.0,40.0,60.0,0.0,0.0,126.0,3,2022-10-11
"Gas, Naptha & Diesel",12.0,3.0,4.0,0.0,25.0,44.0,1,2022-10-11
"RES (Wind, Solar, Biomass & Others)",122.0,75.0,172.0,5.0,1.0,376.0,10,2022-10-11
Total,909.0,1323.0,861.0,631.0,58.0,3782.0,100,2022-10-11
Total,18277.0,30054.0,17531.0,5240.0,765.0,71866.0,100,
Coal,609.0,1212.0,478.0,578.0,11.0,2890.0,75,2022-10-12
Lignite,21.0,8.0,40.0,0.0,0.0,69.0,2,2022-10-12
Hydro,137.0,52.0,136.0,68.0,19.0,411.0,11,2022-10-12
Nuclear,26.0,29.0,60.0,0.0,0.0,115.0,3,2022-10-12
"Gas, Naptha & Diesel",16.0,0.0,5.0,0.0,31.0,51.0,1,2022-10-12
"RES (Wind, Solar, Biomass & Others)",47.0,82.0,200.0,5.0,1.0,335.0,9,2022-10-12
Total,856.0,1383.0,920.0,651.0,61.0,3871.0,100,2022-10-12
Total,19847.0,27475.0,16951.0,5140.0,769.0,70181.0,100,
Coal,626.0,1251.0,488.0,575.0,12.0,2952.0,75,2022-10-13
Lignite,22.0,8.0,41.0,0.0,0.0,70.0,2,2022-10-13
Hydro,142.0,51.0,131.0,63.0,20.0,406.0,10,2022-10-13
Nuclear,26.0,28.0,69.0,0.0,0.0,123.0,3,2022-10-13
"Gas, Naptha & Diesel",16.0,5.0,5.0,0.0,30.0,56.0,1,2022-10-13
"RES (Wind, Solar, Biomass & Others)",96.0,86.0,192.0,5.0,1.0,380.0,10,2022-10-13
Total,926.0,1429.0,925.0,643.0,63.0,3939.0,100,2022-10-13
Total,18297.0,26515.0,16071.0,5530.0,748.0,67160.0,100,
Coal,625.0,1259.0,497.0,575.0,11.0,2968.0,74,2022-10-14
Lignite,24.0,10.0,43.0,0.0,0.0,77.0,2,2022-10-14
Hydro,146.0,43.0,118.0,61.0,19.0,386.0,10,2022-10-14
Nuclear,26.0,28.0,70.0,0.0,0.0,124.0,3,2022-10-14
"Gas, Naptha & Diesel",16.0,4.0,5.0,0.0,30.0,56.0,1,2022-10-14
"RES (Wind, Solar, Biomass & Others)",107.0,92.0,190.0,5.0,1.0,395.0,10,2022-10-14
Total,943.0,1437.0,923.0,641.0,61.0,4005.0,100,2022-10-14
Total,16257.0,26855.0,15471.0,5450.0,769.0,64801.0,100,
Coal,636.0,1249.0,478.0,566.0,9.0,2938.0,73,2022-10-15
Lignite,28.0,14.0,52.0,0.0,0.0,94.0,2,2022-10-15
Hydro,146.0,39.0,115.0,57.0,18.0,375.0,9,2022-10-15
Nuclear,26.0,28.0,71.0,0.0,0.0,125.0,3,2022-10-15
"Gas, Naptha & Diesel",15.0,3.0,5.0,0.0,29.0,53.0,1,2022-10-15
"RES (Wind, Solar, Biomass & Others)",114.0,112.0,188.0,5.0,1.0,420.0,10,2022-10-15
Total,965.0,1445.0,909.0,628.0,57.0,4005.0,100,2022-10-15
Total,16832.0,28607.0,16671.0,5750.0,870.0,68730.0,100,
Coal,651.0,1216.0,482.0,557.0,10.0,2916.0,73,2022-10-16
Lignite,31.0,13.0,44.0,0.0,0.0,88.0,2,2022-10-16
Hydro,145.0,36.0,101.0,54.0,18.0,355.0,9,2022-10-16
Nuclear,26.0,28.0,7.0,0.0,0.0,124.0,3,2022-10-16
"Gas, Naptha & Diesel",14.0,5.0,6.0,0.0,30.0,55.0,1,2022-10-16
"RES (Wind, Solar, Biomass & Others)",114.0,145.0,166.0,5.0,1.0,431.0,11,2022-10-16
Total,981.0,1442.0,870.0,616.0,59.0,3968.0,100,2022-10-16
Total,16642.0,30325.0,18391.0,5910.0,1120.0,72388.0,100,
Coal,645.0,1210.0,455.0,544.0,1.0,2862.0,74,2022-10-17
Lignite,29.0,15.0,42.0,0.0,0.0,86.0,2,2022-10-17
Hydro,143.0,31.0,98.0,63.0,17.0,351.0,9,2022-10-17
Nuclear,26.0,35.0,70.0,0.0,0.0,131.0,3,2022-10-17
"Gas, Naptha & Diesel",12.0,3.0,6.0,0.0,31.0,51.0,1,2022-10-17
"RES (Wind, Solar, Biomass & Others)",113.0,121.0,162.0,5.0,1.0,402.0,10,2022-10-17
Total,968.0,1415.0,832.0,612.0,56.0,3883.0,100,2022-10-17
Total,16927.0,29825.0,18546.0,4670.0,985.0,70953.0,100,
Coal,609.0,1186.0,425.0,531.0,4.0,2755.0,74,2022-10-18
Lignite,30.0,15.0,40.0,0.0,0.0,85.0,2,2022-10-18
Hydro,139.0,27.0,75.0,56.0,17.0,313.0,8,2022-10-18
Nuclear,26.0,36.0,71.0,0.0,0.0,133.0,4,2022-10-18
"Gas, Naptha & Diesel",12.0,2.0,5.0,0.0,31.0,50.0,1,2022-10-18
"RES (Wind, Solar, Biomass & Others)",125.0,86.0,170.0,5.0,1.0,388.0,10,2022-10-18
Total,941.0,1351.0,787.0,592.0,53.0,3724.0,100,2022-10-18
Total,17537.0,29540.0,18026.0,5140.0,985.0,71228.0,100,
Coal,629.0,1225.0,454.0,551.0,5.0,2864.0,74,2022-10-19
Lignite,29.0,16.0,43.0,0.0,0.0,87.0,2,2022-10-19
Hydro,141.0,39.0,114.0,54.0,17.0,364.0,9,2022-10-19
Nuclear,26.0,36.0,70.0,0.0,0.0,132.0,3,2022-10-19
"Gas, Naptha & Diesel",16.0,5.0,4.0,0.0,31.0,55.0,1,2022-10-19
"RES (Wind, Solar, Biomass & Others)",140.0,78.0,154.0,5.0,1.0,379.0,10,2022-10-19
Total,981.0,1397.0,840.0,610.0,54.0,3882.0,100,2022-10-19
Total,16787.0,29200.0,16636.0,4430.0,725.0,67778.0,100,
Coal,646.0,1239.0,476.0,569.0,6.0,2937.0,74,2022-10-20
Lignite,31.0,16.0,42.0,0.0,0.0,88.0,2,2022-10-20
Hydro,140.0,47.0,117.0,53.0,16.0,373.0,9,2022-10-20
Nuclear,26.0,36.0,70.0,0.0,0.0,132.0,3,2022-10-20
"Gas, Naptha & Diesel",16.0,5.0,3.0,0.0,31.0,55.0,1,2022-10-20
"RES (Wind, Solar, Biomass & Others)",124.0,80.0,161.0,5.0,1.0,370.0,9,2022-10-20
Total,982.0,1423.0,870.0,627.0,54.0,3956.0,100,2022-10-20
Total,16837.0,28865.0,16456.0,4380.0,875.0,67413.0,100,
Coal,658.0,1242.0,486.0,579.0,11.0,2975.0,75,2022-10-21
Lignite,29.0,15.0,42.0,0.0,0.0,85.0,2,2022-10-21
Hydro,141.0,36.0,112.0,48.0,16.0,352.0,9,2022-10-21
Nuclear,26.0,36.0,70.0,0.0,0.0,132.0,3,2022-10-21
"Gas, Naptha & Diesel",15.0,4.0,3.0,0.0,30.0,53.0,1,2022-10-21
"RES (Wind, Solar, Biomass & Others)",118.0,94.0,171.0,5.0,1.0,389.0,10,2022-10-21
Total,986.0,1426.0,883.0,633.0,58.0,3987.0,100,2022-10-21
Total,17047.0,27916.0,17496.0,5230.0,860.0,68549.0,100,
Lignite,31.0,15.0,43.0,0.0,0.0,89.0,2,
Hydro,139.0,32.0,106.0,49.0,16.0,342.0,9,
Nuclear,26.0,36.0,70.0,0.0,0.0,132.0,3,
"Gas, Naptha & Diesel",12.0,2.0,5.0,0.0,30.0,49.0,1,
"RES (Wind, Solar, Biomass & Others)",124.0,95.0,184.0,5.0,1.0,409.0,10,
Total,981.0,1429.0,882.0,639.0,58.0,3989.0,100,
Total,16197.0,27284.0,15506.0,5540.0,725.0,65251.0,100,
Coal,611.0,1258.0,477.0,577.0,11.0,2933.0,74,2022-10-22
Lignite,31.0,15.0,45.0,0.0,0.0,91.0,2,2022-10-22
Hydro,170.0,34.0,103.0,45.0,16.0,367.0,9,2022-10-22
Nuclear,25.0,36.0,70.0,0.0,0.0,132.0,3,2022-10-22
"Gas, Naptha & Diesel",13.0,5.0,3.0,0.0,30.0,51.0,1,2022-10-22
"RES (Wind, Solar, Biomass & Others)",129.0,81.0,184.0,5.0,1.0,400.0,10,2022-10-22
Total,979.0,1428.0,883.0,627.0,58.0,3974.0,100,2022-10-22
Total,16587.0,28607.0,15506.0,4390.0,875.0,65965.0,100,
Coal,654.0,1240.0,479.0,568.0,10.0,2952.0,75,2022-10-23
Lignite,28.0,14.0,45.0,0.0,0.0,88.0,2,2022-10-23
Hydro,133.0,30.0,88.0,42.0,15.0,308.0,8,2022-10-23
Nuclear,26.0,36.0,71.0,0.0,0.0,133.0,3,2022-10-23
"Gas, Naptha & Diesel",12.0,2.0,2.0,0.0,30.0,46.0,1,2022-10-23
"RES (Wind, Solar, Biomass & Others)",126.0,89.0,188.0,5.0,1.0,409.0,10,2022-10-23
Total,979.0,1411.0,872.0,615.0,56.0,3935.0,100,2022-10-23
Total,17797.0,27250.0,15696.0,4450.0,1065.0,66258.0,100,
Coal,623.0,1192.0,460.0,547.0,10.0,2832.0,75,2022-10-24
Lignite,26.0,14.0,44.0,0.0,0.0,83.0,2,2022-10-24
Hydro,132.0,26.0,68.0,38.0,14.0,279.0,1,2022-10-24
"Gas, Naptha & Diesel",12.0,2.0,4.0,0.0,30.0,48.0,1,2022-10-24
Total,948.0,1365.0,824.0,590.0,55.0,3782.0,100,2022-10-24
Total,17497.0,25882.0,15826.0,4000.0,725.0,63930.0,100,
Lignite,27.0,13.0,44.0,0.0,0.0,84.0,2,
Hydro,132.0,31.0,102.0,39.0,15.0,319.0,8,
Nuclear,26.0,36.0,71.0,0.0,0.0,133.0,3,
"Gas, Naptha & Diesel",14.0,5.0,5.0,0.0,31.0,56.0,1,
"RES (Wind, Solar, Biomass & Others)",137.0,105.0,138.0,5.0,1.0,385.0,10,
Total,962.0,1434.0,853.0,613.0,57.0,3919.0,100,
Total,15227.0,26752.0,16206.0,5560.0,725.0,64470.0,100,
Coal,644.0,1271.0,503.0,576.0,11.0,3006.0,76,2022-10-25
Lignite,28.0,12.0,45.0,0.0,0.0,85.0,2,2022-10-25
Hydro,138.0,35.0,104.0,41.0,15.0,331.0,8,2022-10-25
Nuclear,26.0,36.0,69.0,0.0,0.0,131.0,3,2022-10-25
"Gas, Naptha & Diesel",15.0,1.0,4.0,0.0,29.0,55.0,1,2022-10-25
"RES (Wind, Solar, Biomass & Others)",127.0,91.0,140.0,5.0,1.0,363.0,9,2022-10-25
Total,978.0,1452.0,863.0,622.0,56.0,3971.0,100,2022-10-25
Total,17882.0,27701.0,15806.0,5560.0,725.0,67674.0,100,
Coal,660.0,1255.0,506.0,567.0,11.0,2999.0,76,2022-10-26
Hydro,136.0,36.0,94.0,41.0,14.0,322.0,8,2022-10-26
Nuclear,26.0,35.0,53.0,0.0,0.0,115.0,3,2022-10-26
"Gas, Naptha & Diesel",16.0,8.0,6.0,0.0,30.0,59.0,1,2022-10-26
"RES (Wind, Solar, Biomass & Others)",128.0,92.0,163.0,5.0,1.0,389.0,10,2022-10-26
Total,997.0,1438.0,865.0,613.0,56.0,3969.0,100,2022-10-26
Total,17627.0,27276.0,15768.0,4750.0,725.0,66146.0,100,
Lignite,28.0,12.0,45.0,0.0,0.0,86.0,2,
Hydro,137.0,41.0,86.0,40.0,14.0,318.0,8,
Nuclear,26.0,31.0,66.0,0.0,0.0,123.0,3,
"Gas, Naptha & Diesel",13.0,7.0,6.0,0.0,30.0,55.0,1,
"RES (Wind, Solar, Biomass & Others)",131.0,90.0,167.0,6.0,1.0,395.0,10,
Total,983.0,1472.0,881.0,614.0,56.0,4005.0,100,
Total,16247.0,24676.0,14748.0,5140.0,725.0,61536.0,100,
Coal,652.0,1294.0,508.0,576.0,11.0,3041.0,75,2022-10-27
Hydro,131.0,33.0,90.0,38.0,14.0,305.0,8,2022-10-27
Nuclear,26.0,32.0,65.0,0.0,0.0,123.0,3,2022-10-27
"Gas, Naptha & Diesel",14.0,1.0,6.0,0.0,30.0,57.0,1,2022-10-27
"RES (Wind, Solar, Biomass & Others)",130.0,108.0,181.0,6.0,1.0,425.0,11,2022-10-27
Total,980.0,1486.0,899.0,619.0,56.0,4040.0,100,2022-10-27
Total,16247.0,27194.0,14998.0,5550.0,725.0,64713.0,100,
Coal,664.0,1293.0,508.0,564.0,10.0,3039.0,76,2022-10-28
Lignite,26.0,13.0,50.0,0.0,0.0,89.0,2,2022-10-28
Hydro,131.0,45.0,90.0,37.0,15.0,317.0,8,2022-10-28
Nuclear,26.0,35.0,65.0,0.0,0.0,127.0,3,2022-10-28
"Gas, Naptha & Diesel",13.0,7.0,5.0,0.0,30.0,55.0,1,2022-10-28
"RES (Wind, Solar, Biomass & Others)",129.0,94.0,166.0,5.0,1.0,394.0,10,2022-10-28
Total,989.0,1487.0,884.0,606.0,55.0,4021.0,100,2022-10-28
Total,15762.0,26895.0,15208.0,5300.0,725.0,63889.0,100,
Coal,659.0,1247.0,492.0,562.0,10.0,2970.0,71,2022-10-29
Lignite,28.0,15.0,49.0,0.0,0.0,92.0,2,2022-10-29
Hydro,133.0,26.0,722.0,37.0,14.0,282.0,7,2022-10-29
Nuclear,26.0,36.0,65.0,0.0,0.0,127.0,3,2022-10-29
"Gas, Naptha & Diesel",11.0,5.0,5.0,0.0,31.0,53.0,1,2022-10-29
"RES (Wind, Solar, Biomass & Others)",128.0,71.0,153.0,5.0,1.0,357.0,9,2022-10-29
Total,985.0,1400.0,836.0,605.0,55.0,3880.0,100,2022-10-29
Total,15712.0,27190.0,15378.0,5360.0,725.0,64365.0,100,
Coal,671.0,1292.0,511.0,566.0,11.0,3051.0,76,2022-10-30
Lignite,31.0,15.0,37.0,0.0,0.0,82.0,2,2022-10-30
Hydro,134.0,37.0,107.0,37.0,14.0,329.0,8,2022-10-30
Nuclear,26.0,36.0,59.0,0.0,0.0,121.0,3,2022-10-30
"Gas, Naptha & Diesel",11.0,6.0,6.0,0.0,31.0,53.0,1,2022-10-30
"RES (Wind, Solar, Biomass & Others)",132.0,78.0,144.0,5.0,1.0,361.0,9,2022-10-30
Total,1006.0,1463.0,863.0,608.0,56.0,3996.0,100,2022-10-30
Total,15977.0,25372.0,15748.0,5090.0,725.0,62912.0,100,
Coal,680.0,1291.0,514.0,557.0,11.0,3052.0,76,2022-10-31
Hydro,131.0,41.0,85.0,36.0,13.0,307.0,8,2022-10-31
Nuclear,26.0,36.0,65.0,0.0,0.0,127.0,3,2022-10-31
